"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "JavaScript", "CSS", "XML", "Docker", "YAML", "HTML", "comment", "blank", "total"
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\404\Unauthorized.tsx", "TypeScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 4, 84
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\buyer\Buyer.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 5, 36
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\buyer\Cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 761, 0, 0, 0, 0, 0, 0, 8, 23, 792
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\buyer\DrinkB.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 5, 51
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\buyer\HeroB.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\buyer\HeroB.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 7, 124
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\buyer\NavbarB.tsx", "TypeScript JSX", 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 0, 5, 9, 301
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\buyer\Order.tsx", "TypeScript JSX", 0, 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 2, 7, 319
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\buyer\PastOrders.tsx", "TypeScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 6, 91
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\buyer\Product.tsx", "TypeScript JSX", 0, 0, 0, 0, 395, 0, 0, 0, 0, 0, 0, 0, 8, 403
